dataset,track_id,n_beats,mean_ibi,std_ibi,cv
SMC,smc_117,39,1.026,0.1521,0.1482
SMC,smc_118,38,1.0624,0.1933,0.1819
SMC,smc_119,37,1.0791,0.0897,0.0831
SMC,smc_120,58,0.6526,0.0504,0.0772
SMC,smc_121,23,1.7237,0.134,0.0777
SMC,smc_124,44,0.9166,0.0423,0.0461
SMC,smc_126,43,0.9216,0.0337,0.0366
SMC,smc_127,35,1.1207,0.6275,0.56
SMC,smc_130,28,1.4345,0.5342,0.3724
SMC,smc_133,44,0.9078,0.0484,0.0534
SMC,smc_135,51,0.7816,0.1195,0.1529
SMC,smc_137,83,0.4694,0.0742,0.1581
SMC,smc_139,26,1.4617,0.0485,0.0332
SMC,smc_140,72,0.5476,0.1804,0.3295
SMC,smc_142,51,0.7852,0.2466,0.3141
SMC,smc_143,59,0.6772,0.04,0.0591
SMC,smc_146,37,1.0767,0.1502,0.1395
SMC,smc_147,63,0.6022,0.0275,0.0457
SMC,smc_148,48,0.828,0.0508,0.0613
SMC,smc_149,47,0.848,0.1828,0.2156
SMC,smc_150,72,0.5411,0.1317,0.2433
SMC,smc_151,88,0.4404,0.0574,0.1304
SMC,smc_152,54,0.7397,0.1352,0.1828
SMC,smc_153,64,0.6253,0.0389,0.0623
SMC,smc_154,35,1.0893,0.1007,0.0924
SMC,smc_157,51,0.7686,0.0272,0.0354
SMC,smc_158,26,1.4954,0.4303,0.2877
SMC,smc_159,61,0.6441,0.0884,0.1372
SMC,smc_161,40,1.0059,0.0931,0.0926
SMC,smc_166,52,0.7607,0.0494,0.0649
SMC,smc_167,23,1.7156,0.1935,0.1128
SMC,smc_168,22,1.8057,0.1355,0.0751
SMC,smc_169,108,0.3633,0.0612,0.1683
SMC,smc_170,46,0.8226,0.0452,0.0549
SMC,smc_171,34,1.1434,0.052,0.0454
SMC,smc_172,50,0.7928,0.0883,0.1114
SMC,smc_173,27,1.461,0.0617,0.0422
SMC,smc_174,53,0.7483,0.12,0.1604
SMC,smc_175,21,1.8646,0.3916,0.21
SMC,smc_176,47,0.7755,0.1127,0.1453
SMC,smc_178,23,1.6363,0.095,0.0581
SMC,smc_179,25,1.63,0.5425,0.3328
SMC,smc_181,38,1.0633,0.2131,0.2004
SMC,smc_182,46,0.862,0.0609,0.0707
SMC,smc_184,39,1.0044,0.0864,0.086
SMC,smc_187,22,1.857,0.1281,0.069
SMC,smc_188,32,1.2461,0.085,0.0682
SMC,smc_190,35,1.1274,0.1542,0.1368
SMC,smc_192,21,1.9063,0.2107,0.1105
SMC,smc_193,47,0.8263,0.0683,0.0826
SMC,smc_194,41,0.9827,0.119,0.1211
SMC,smc_195,50,0.3419,0.0216,0.0632
SMC,smc_197,24,1.6427,0.0736,0.0448
SMC,smc_198,54,0.7415,0.3187,0.4298
SMC,smc_199,45,0.8767,0.2365,0.2698
SMC,smc_202,36,1.0994,0.076,0.0691
SMC,smc_203,44,0.8864,0.0527,0.0595
SMC,smc_204,59,0.6613,0.1985,0.3001
SMC,smc_205,48,0.8313,0.2115,0.2545
SMC,smc_206,34,0.8332,0.0952,0.1142
SMC,smc_207,76,0.5265,0.035,0.0664
SMC,smc_208,35,1.1273,0.1376,0.1221
SMC,smc_209,45,0.8818,0.1939,0.2199
SMC,smc_211,55,0.7166,0.0542,0.0756
SMC,smc_212,26,1.4714,0.1705,0.1159
SMC,smc_213,42,0.9206,0.0874,0.0949
SMC,smc_214,28,1.4025,0.2553,0.1821
SMC,smc_215,37,1.061,0.1419,0.1337
SMC,smc_216,41,0.9834,0.0887,0.0902
SMC,smc_217,35,1.1231,0.0707,0.063
SMC,smc_219,57,0.7044,0.1322,0.1877
SMC,smc_220,47,0.8311,0.0336,0.0404
SMC,smc_221,34,1.1856,0.1664,0.1403
SMC,smc_222,29,1.3783,0.4617,0.335
SMC,smc_223,36,1.1102,0.2901,0.2613
SMC,smc_224,42,0.9506,0.0524,0.0551
SMC,smc_225,28,1.389,0.1726,0.1242
SMC,smc_226,35,1.0938,0.1284,0.1174
SMC,smc_227,43,0.9304,0.0648,0.0696
SMC,smc_229,50,0.8008,0.0409,0.051
SMC,smc_232,75,0.5225,0.2355,0.4508
SMC,smc_235,42,0.9372,0.1624,0.1733
SMC,smc_236,33,1.1672,0.4854,0.4158
SMC,smc_237,42,0.9341,0.1233,0.132
SMC,smc_239,30,1.2639,0.129,0.1021
SMC,smc_241,48,0.8109,0.0743,0.0916
SMC,smc_242,52,0.7677,0.0583,0.076
SMC,smc_243,32,1.2635,0.4673,0.3699
SMC,smc_244,70,0.5542,0.0523,0.0944
SMC,smc_248,60,0.6485,0.1205,0.1859
SMC,smc_249,42,0.9396,0.2313,0.2462
SMC,smc_251,71,0.5455,0.2161,0.3961
SMC,smc_252,61,0.6513,0.0378,0.0581
SMC,smc_253,44,0.9152,0.0786,0.0859
SMC,smc_254,64,0.6115,0.0435,0.0711
SMC,smc_255,43,0.9461,0.0997,0.1054
SMC,smc_256,41,0.9616,0.3032,0.3153
SMC,smc_257,77,0.5174,0.3653,0.7061
SMC,smc_258,60,0.6728,0.0483,0.0717
SMC,smc_259,32,0.8053,0.1628,0.2021
SMC,smc_260,61,0.6492,0.149,0.2295
SMC,smc_261,36,0.9544,0.326,0.3416
SMC,smc_262,72,0.5507,0.0929,0.1687
SMC,smc_263,29,1.2318,0.0864,0.0701
SMC,smc_264,48,0.8327,0.0617,0.0741
SMC,smc_265,93,0.42,0.0781,0.186
SMC,smc_266,31,1.2363,0.2387,0.1931
SMC,smc_269,36,1.1156,0.0689,0.0618
SMC,smc_271,69,0.5815,0.0006,0.0011
SMC,smc_272,130,0.2913,0.0169,0.0579
SMC,smc_273,64,0.6275,0.0255,0.0406
SMC,smc_274,93,0.4191,0.024,0.0573
SMC,smc_275,27,1.4974,0.025,0.0167
SMC,smc_276,126,0.3186,0.0144,0.0453
SMC,smc_277,34,1.162,0.07,0.0603
SMC,smc_278,69,0.5771,0.0245,0.0424
SMC,smc_279,69,0.5752,0.0095,0.0166
SMC,smc_280,54,0.706,0.0175,0.0248
SMC,smc_281,62,0.6442,0.0275,0.0427
SMC,smc_282,63,0.6379,0.0297,0.0466
SMC,smc_283,56,0.6999,0.0222,0.0317
SMC,smc_284,60,0.6023,0.0248,0.0412
SMC,smc_285,80,0.4999,0.024,0.048
SMC,smc_286,59,0.6813,0.014,0.0205
SMC,smc_287,68,0.5877,0.0263,0.0447
SMC,smc_288,66,0.5944,0.0136,0.0228
SMC,smc_289,66,0.6029,0.0324,0.0538
Ballroom,Albums-AnaBelen_Veneo-01,49,0.6139,0.0132,0.0215
Ballroom,Albums-AnaBelen_Veneo-02,47,0.6004,0.0072,0.012
Ballroom,Albums-AnaBelen_Veneo-13,63,0.4523,0.0093,0.0205
Ballroom,Albums-AnaBelen_Veneo-15,60,0.5002,0.0155,0.0309
Ballroom,Albums-Ballroom_Classics4-01,42,0.6919,0.036,0.0521
Ballroom,Albums-Ballroom_Classics4-02,42,0.6905,0.031,0.0449
Ballroom,Albums-Ballroom_Classics4-03,43,0.6933,0.0368,0.053
Ballroom,Albums-Ballroom_Classics4-04,44,0.6888,0.0239,0.0348
Ballroom,Albums-Ballroom_Classics4-05,44,0.6909,0.0312,0.0451
Ballroom,Albums-Ballroom_Classics4-06,64,0.4687,0.0071,0.0152
Ballroom,Albums-Ballroom_Classics4-07,64,0.4674,0.0043,0.0093
Ballroom,Albums-Ballroom_Classics4-08,63,0.4697,0.0224,0.0477
Ballroom,Albums-Ballroom_Classics4-09,64,0.4685,0.0087,0.0185
Ballroom,Albums-Ballroom_Classics4-10,64,0.4687,0.0068,0.0146
Ballroom,Albums-Ballroom_Classics4-11,87,0.3447,0.0043,0.0124
Ballroom,Albums-Ballroom_Classics4-12,86,0.3454,0.0177,0.0513
Ballroom,Albums-Ballroom_Classics4-13,87,0.3426,0.008,0.0232
Ballroom,Albums-Ballroom_Classics4-14,87,0.3441,0.0157,0.0457
Ballroom,Albums-Ballroom_Classics4-18,99,0.3003,0.0049,0.0162
Ballroom,Albums-Ballroom_Classics4-19,101,0.2951,0.0069,0.0232
Ballroom,Albums-Ballroom_Classics4-20,101,0.2962,0.014,0.0472
Ballroom,Albums-Ballroom_Magic-01,42,0.7151,0.0213,0.0298
Ballroom,Albums-Ballroom_Magic-02,44,0.6914,0.0237,0.0343
Ballroom,Albums-Ballroom_Magic-04,43,0.6892,0.0184,0.0267
Ballroom,Albums-Ballroom_Magic-05,42,0.7117,0.0355,0.0498
Ballroom,Albums-Ballroom_Magic-06,64,0.4702,0.0092,0.0195
Ballroom,Albums-Ballroom_Magic-07,64,0.4685,0.0055,0.0118
Ballroom,Albums-Ballroom_Magic-08,63,0.4703,0.014,0.0298
Ballroom,Albums-Ballroom_Magic-09,89,0.3397,0.0079,0.0232
Ballroom,Albums-Ballroom_Magic-10,90,0.3342,0.0072,0.0217
Ballroom,Albums-Ballroom_Magic-11,90,0.3338,0.0072,0.0215
Ballroom,Albums-Ballroom_Magic-15,104,0.2889,0.0052,0.018
Ballroom,Albums-Ballroom_Magic-16,102,0.2948,0.006,0.0204
Ballroom,Albums-Ballroom_Magic-17,100,0.3005,0.0101,0.0336
Ballroom,Albums-Ballroom_Magic-18,45,0.667,0.0286,0.0428
Ballroom,Albums-Cafe_Paradiso-01,51,0.5906,0.0074,0.0126
Ballroom,Albums-Cafe_Paradiso-02,42,0.5988,0.0099,0.0166
Ballroom,Albums-Cafe_Paradiso-03,45,0.5893,0.0089,0.0151
Ballroom,Albums-Cafe_Paradiso-04,50,0.6014,0.009,0.015
Ballroom,Albums-Cafe_Paradiso-05,63,0.4773,0.0054,0.0114
Ballroom,Albums-Cafe_Paradiso-06,53,0.4875,0.0121,0.0248
Ballroom,Albums-Cafe_Paradiso-07,62,0.4849,0.009,0.0185
Ballroom,Albums-Cafe_Paradiso-08,62,0.4849,0.0108,0.0223
Ballroom,Albums-Cafe_Paradiso-09,42,0.7151,0.0237,0.0331
Ballroom,Albums-Cafe_Paradiso-10,48,0.6262,0.0319,0.0509
Ballroom,Albums-Cafe_Paradiso-11,48,0.6262,0.0094,0.0149
Ballroom,Albums-Cafe_Paradiso-12,48,0.6257,0.0105,0.0167
Ballroom,Albums-Cafe_Paradiso-14,84,0.3495,0.0055,0.0156
Ballroom,Albums-Cafe_Paradiso-15,75,0.3496,0.0126,0.0359
Ballroom,Albums-Cafe_Paradiso-16,71,0.3499,0.008,0.0229
Ballroom,Albums-Chrisanne1-01,42,0.7179,0.0242,0.0337
Ballroom,Albums-Chrisanne1-02,39,0.7844,0.2071,0.264
Ballroom,Albums-Chrisanne1-03,42,0.7186,0.0117,0.0162
Ballroom,Albums-Chrisanne1-04,64,0.4695,0.0112,0.0238
Ballroom,Albums-Chrisanne1-05,65,0.4601,0.0134,0.0292
Ballroom,Albums-Chrisanne1-06,64,0.4703,0.0194,0.0413
Ballroom,Albums-Chrisanne1-07,90,0.3348,0.01,0.0298
Ballroom,Albums-Chrisanne1-08,82,0.3384,0.0097,0.0286
Ballroom,Albums-Chrisanne1-12,100,0.3007,0.0123,0.0408
Ballroom,Albums-Chrisanne1-13,101,0.2946,0.0109,0.037
Ballroom,Albums-Chrisanne1-14,100,0.3006,0.0087,0.029
Ballroom,Albums-Chrisanne2-01,43,0.7119,0.0591,0.083
Ballroom,Albums-Chrisanne2-02,43,0.7036,0.0115,0.0163
Ballroom,Albums-Chrisanne2-03,42,0.731,0.025,0.0341
Ballroom,Albums-Chrisanne2-04,66,0.4475,0.0151,0.0337
Ballroom,Albums-Chrisanne2-05,65,0.4556,0.0159,0.0349
Ballroom,Albums-Chrisanne2-06,65,0.465,0.0068,0.0146
Ballroom,Albums-Chrisanne2-07,87,0.3453,0.0148,0.043
Ballroom,Albums-Chrisanne2-11,101,0.3005,0.0101,0.0337
Ballroom,Albums-Chrisanne2-12,102,0.2932,0.0091,0.0311
Ballroom,Albums-Chrisanne3-01,43,0.7145,0.0156,0.0218
Ballroom,Albums-Chrisanne3-02,42,0.7164,0.0318,0.0444
Ballroom,Albums-Chrisanne3-03,44,0.6884,0.0296,0.0431
Ballroom,Albums-Chrisanne3-04,66,0.4511,0.0109,0.0242
Ballroom,Albums-Chrisanne3-05,66,0.4546,0.0196,0.043
Ballroom,Albums-Chrisanne3-06,64,0.4701,0.0155,0.033
Ballroom,Albums-Chrisanne3-07,88,0.3447,0.0052,0.0152
Ballroom,Albums-Chrisanne3-08,90,0.3358,0.0159,0.0472
Ballroom,Albums-Chrisanne3-09,90,0.336,0.0075,0.0225
Ballroom,Albums-Chrisanne3-13,102,0.2972,0.0066,0.0222
Ballroom,Albums-Chrisanne3-14,101,0.2984,0.0152,0.051
Ballroom,Albums-Chrisanne3-15,102,0.296,0.0104,0.0353
Ballroom,Albums-Commitments-08,80,0.3703,0.0041,0.0112
Ballroom,Albums-Commitments-10,78,0.3725,0.0087,0.0234
Ballroom,Albums-Commitments-11,44,0.6763,0.0153,0.0226
Ballroom,Albums-Fire-01,62,0.4848,0.0135,0.0279
Ballroom,Albums-Fire-02,52,0.5775,0.003,0.0051
Ballroom,Albums-Fire-03,47,0.6204,0.0116,0.0187
Ballroom,Albums-Fire-07,86,0.3421,0.0075,0.0218
Ballroom,Albums-Fire-09,61,0.4848,0.006,0.0123
Ballroom,Albums-Fire-10,49,0.6052,0.0124,0.0205
Ballroom,Albums-Fire-12,89,0.3341,0.0016,0.0048
Ballroom,Albums-Fire-13,43,0.675,0.0216,0.032
Ballroom,Albums-Fire-14,62,0.4851,0.0056,0.0116
Ballroom,Albums-Fire-15,52,0.5775,0.0101,0.0174
Ballroom,Albums-GloriaEstefan_MiTierra-01,41,0.698,0.0176,0.0253
Ballroom,Albums-GloriaEstefan_MiTierra-04,59,0.5051,0.0143,0.0282
Ballroom,Albums-GloriaEstefan_MiTierra-06,64,0.4521,0.0069,0.0153
Ballroom,Albums-GloriaEstefan_MiTierra-08,44,0.67,0.0322,0.0481
Ballroom,Albums-GloriaEstefan_MiTierra-11,39,0.69,0.0201,0.0292
Ballroom,Albums-I_Like_It2-01,75,0.4455,0.0152,0.0342
Ballroom,Albums-I_Like_It2-02,59,0.4962,0.0136,0.0275
Ballroom,Albums-I_Like_It2-09,62,0.4668,0.0166,0.0356
Ballroom,Albums-Latin_Jam-01,60,0.4732,0.0062,0.0132
Ballroom,Albums-Latin_Jam-02,52,0.5784,0.0041,0.0072
Ballroom,Albums-Latin_Jam-03,52,0.578,0.0059,0.0103
Ballroom,Albums-Latin_Jam-05,51,0.5782,0.0043,0.0075
Ballroom,Albums-Latin_Jam-07,60,0.4849,0.005,0.0103
Ballroom,Albums-Latin_Jam-09,50,0.5782,0.0078,0.0134
Ballroom,Albums-Latin_Jam-11,89,0.3419,0.0042,0.0124
Ballroom,Albums-Latin_Jam-12,88,0.3408,0.0123,0.036
Ballroom,Albums-Latin_Jam-13,64,0.4697,0.0071,0.0152
Ballroom,Albums-Latin_Jam-14,52,0.578,0.0162,0.028
Ballroom,Albums-Latin_Jam-15,52,0.579,0.0095,0.0165
Ballroom,Albums-Latin_Jam2-01,51,0.59,0.0098,0.0166
Ballroom,Albums-Latin_Jam2-03,52,0.5782,0.0071,0.0122
Ballroom,Albums-Latin_Jam2-04,57,0.47,0.0065,0.0139
Ballroom,Albums-Latin_Jam2-06,64,0.4698,0.0049,0.0104
Ballroom,Albums-Latin_Jam2-08,51,0.5792,0.0115,0.0198
Ballroom,Albums-Latin_Jam2-09,52,0.5784,0.0054,0.0093
Ballroom,Albums-Latin_Jam2-11,87,0.3417,0.0088,0.0256
Ballroom,Albums-Latin_Jam2-12,87,0.3417,0.0082,0.024
Ballroom,Albums-Latin_Jam2-13,63,0.4727,0.0083,0.0175
Ballroom,Albums-Latin_Jam2-14,53,0.5783,0.0063,0.0109
Ballroom,Albums-Latin_Jam2-15,52,0.5784,0.0113,0.0195
Ballroom,Albums-Latin_Jam3-01,62,0.4837,0.0058,0.0119
Ballroom,Albums-Latin_Jam3-03,62,0.4836,0.0051,0.0106
Ballroom,Albums-Latin_Jam3-04,51,0.6,0.0032,0.0054
Ballroom,Albums-Latin_Jam3-05,50,0.6,0.0029,0.0048
Ballroom,Albums-Latin_Jam3-06,48,0.5998,0.0053,0.0088
Ballroom,Albums-Latin_Jam3-07,52,0.5765,0.0023,0.0041
Ballroom,Albums-Latin_Jam3-08,52,0.5767,0.01,0.0174
Ballroom,Albums-Latin_Jam3-09,50,0.5765,0.0092,0.0159
Ballroom,Albums-Latin_Jam3-11,88,0.3407,0.0054,0.0159
Ballroom,Albums-Latin_Jam3-12,87,0.3406,0.0072,0.0212
Ballroom,Albums-Latin_Jam4-01,60,0.4851,0.0083,0.0171
Ballroom,Albums-Latin_Jam4-02,52,0.5788,0.0055,0.0095
Ballroom,Albums-Latin_Jam4-03,52,0.5782,0.0115,0.0199
Ballroom,Albums-Latin_Jam4-05,87,0.3418,0.004,0.0117
Ballroom,Albums-Latin_Jam4-06,63,0.4698,0.0063,0.0135
Ballroom,Albums-Latin_Jam4-07,52,0.5786,0.0049,0.0084
Ballroom,Albums-Latin_Jam4-08,51,0.5786,0.0143,0.0247
Ballroom,Albums-Latin_Jam4-10,88,0.3417,0.0096,0.0281
Ballroom,Albums-Latin_Jam4-11,63,0.4697,0.009,0.0191
Ballroom,Albums-Latin_Jam4-12,52,0.5782,0.0055,0.0095
Ballroom,Albums-Latin_Jam4-13,51,0.5768,0.0228,0.0394
Ballroom,Albums-Latin_Jam5-01,50,0.6014,0.009,0.015
Ballroom,Albums-Latin_Jam5-02,61,0.485,0.009,0.0186
Ballroom,Albums-Latin_Jam5-03,51,0.5784,0.0199,0.0345
Ballroom,Albums-Latin_Jam5-04,87,0.3416,0.0061,0.0178
Ballroom,Albums-Latin_Jam5-06,51,0.6012,0.0087,0.0145
Ballroom,Albums-Latin_Jam5-07,62,0.4843,0.0076,0.0156
Ballroom,Albums-Latin_Jam5-08,48,0.5783,0.0069,0.012
Ballroom,Albums-Latin_Jam5-09,88,0.3417,0.0046,0.0135
Ballroom,Albums-Latin_Jam5-10,50,0.601,0.0042,0.007
Ballroom,Albums-Latin_Jam5-11,61,0.485,0.0065,0.0133
Ballroom,Albums-Latin_Jam5-12,52,0.5782,0.0094,0.0163
Ballroom,Albums-Latino_Latino-01,57,0.4777,0.0089,0.0186
Ballroom,Albums-Latino_Latino-03,50,0.5997,0.0125,0.0208
Ballroom,Albums-Latino_Latino-04,58,0.5123,0.0189,0.0369
Ballroom,Albums-Latino_Latino-05,55,0.5389,0.0124,0.023
Ballroom,Albums-Latino_Latino-06,53,0.5675,0.0143,0.0251
Ballroom,Albums-Latino_Latino-09,69,0.4273,0.0074,0.0173
Ballroom,Albums-Latino_Latino-10,55,0.538,0.0202,0.0375
Ballroom,Albums-Macumba-01,61,0.484,0.0086,0.0178
Ballroom,Albums-Macumba-02,60,0.4831,0.0096,0.0199
Ballroom,Albums-Macumba-03,58,0.4839,0.0069,0.0144
Ballroom,Albums-Macumba-04,62,0.4839,0.0055,0.0114
Ballroom,Albums-Macumba-05,45,0.6007,0.0069,0.0114
Ballroom,Albums-Macumba-06,50,0.6002,0.0055,0.0092
Ballroom,Albums-Macumba-07,50,0.6002,0.0051,0.0086
Ballroom,Albums-Macumba-08,50,0.6002,0.0065,0.0108
Ballroom,Albums-Macumba-09,47,0.625,0.005,0.008
Ballroom,Albums-Macumba-10,44,0.6251,0.0178,0.0285
Ballroom,Albums-Macumba-11,48,0.6,0.012,0.02
Ballroom,Albums-Macumba-12,48,0.6,0.0127,0.0212
Ballroom,Albums-Macumba-14,86,0.3484,0.0085,0.0245
Ballroom,Albums-Macumba-15,88,0.3413,0.0063,0.0185
Ballroom,Albums-Macumba-16,83,0.3572,0.0045,0.0127
Ballroom,Albums-Mambo_Kings-03,57,0.5227,0.0132,0.0252
Ballroom,Albums-Mambo_Kings-10,51,0.5846,0.0169,0.0289
Ballroom,Albums-Mambo_Kings-11,58,0.5161,0.0079,0.0154
Ballroom,Albums-Mambo_Kings-12,56,0.5329,0.0199,0.0373
Ballroom,Albums-Pais_Tropical-01,49,0.6012,0.0096,0.016
Ballroom,Albums-Pais_Tropical-02,51,0.6016,0.0045,0.0074
Ballroom,Albums-Pais_Tropical-03,51,0.5898,0.0071,0.012
Ballroom,Albums-Pais_Tropical-04,50,0.6018,0.0059,0.0099
Ballroom,Albums-Pais_Tropical-05,59,0.485,0.0053,0.011
Ballroom,Albums-Pais_Tropical-06,61,0.485,0.0056,0.0116
Ballroom,Albums-Pais_Tropical-07,60,0.4849,0.0077,0.0158
Ballroom,Albums-Pais_Tropical-08,61,0.485,0.0081,0.0166
Ballroom,Albums-Pais_Tropical-09,50,0.6016,0.0096,0.0159
Ballroom,Albums-Pais_Tropical-10,48,0.6015,0.0183,0.0305
Ballroom,Albums-Pais_Tropical-11,50,0.6016,0.0187,0.031
Ballroom,Albums-Pais_Tropical-12,50,0.601,0.0176,0.0294
Ballroom,Albums-Pais_Tropical-13,84,0.3582,0.009,0.0251
Ballroom,Albums-Pais_Tropical-14,85,0.3581,0.0048,0.0134
Ballroom,Albums-Pais_Tropical-15,83,0.3496,0.0026,0.0075
Ballroom,Albums-Pais_Tropical-16,86,0.3506,0.0085,0.0241
Ballroom,Albums-Secret_Garden-02,43,0.7,0.0245,0.0351
Ballroom,Albums-Secret_Garden-05,37,0.8197,0.068,0.083
Ballroom,Albums-Secret_Garden-06,44,0.6902,0.0912,0.1321
Ballroom,Albums-Step_By_Step-01,43,0.6896,0.0141,0.0204
Ballroom,Albums-Step_By_Step-02,41,0.6902,0.0177,0.0256
Ballroom,Albums-Step_By_Step-03,42,0.6878,0.0278,0.0404
Ballroom,Albums-Step_By_Step-04,44,0.6854,0.0279,0.0407
Ballroom,Albums-Step_By_Step-05,64,0.4684,0.0177,0.0377
Ballroom,Albums-Step_By_Step-06,64,0.4676,0.0227,0.0486
Ballroom,Albums-Step_By_Step-07,63,0.4681,0.0149,0.0319
Ballroom,Albums-Step_By_Step-08,64,0.4681,0.0096,0.0204
Ballroom,Albums-Step_By_Step-09,89,0.3323,0.0039,0.0118
Ballroom,Albums-Step_By_Step-10,89,0.3328,0.0071,0.0213
Ballroom,Albums-Step_By_Step-11,90,0.3331,0.0061,0.0185
Ballroom,Albums-Step_By_Step-15,101,0.2941,0.0146,0.0498
Ballroom,Albums-Step_By_Step-16,100,0.293,0.0046,0.0157
Ballroom,Albums-Step_By_Step-17,101,0.2936,0.0063,0.0216
Ballroom,Albums-Step_By_Step-18,102,0.2944,0.0066,0.0225
Ballroom,Albums-StrictlyDancing_Tango-01(1),56,0.5322,0.0124,0.0233
Ballroom,Albums-StrictlyDancing_Tango-01,56,0.5322,0.0124,0.0233
Ballroom,Albums-StrictlyDancing_Tango-02,57,0.5172,0.0113,0.0219
Ballroom,Albums-StrictlyDancing_Tango-03,56,0.5213,0.0129,0.0248
Ballroom,Albums-StrictlyDancing_Tango-04,59,0.5041,0.0093,0.0185
Ballroom,Albums-StrictlyDancing_Tango-05,58,0.513,0.02,0.039
