track_id,bt_F,bt_AMLt,bt_CMLt,btr_F,category,descriptors,confidence,bt_act_mean,bt_act_max,bt_act_median,bt_act_peak_prominence_mean,bt_act_peak_prominence_std,bt_act_n_peaks,bt_act_periodicity,bt_act_entropy,bt_act_gt_peak_mean,bt_act_gt_peak_std,bt_act_nongt_peak_mean,btr_act_mean,btr_act_max,btr_act_median,btr_act_peak_prominence_mean,btr_act_peak_prominence_std,btr_act_n_peaks,btr_act_periodicity,btr_act_entropy,btr_act_gt_peak_mean,btr_act_gt_peak_std,btr_act_nongt_peak_mean,bt_failure_mode,btr_failure_mode
smc_014,0.7901,0.6222,0.6222,0.8571,other,gradual tempo change; expressive timing; missing bass,1,0.0693,0.9969,0.0033,0.6553,0.3371,50,0.2097,6.0060,0.6757,0.3396,0.8667,0.0657,0.8400,0.0053,0.3940,0.2393,40,0.5003,6.1314,0.4804,0.2236,0.2591,,
smc_015,0.4308,0.5227,0.0000,0.2828,other,slow tempo; expressive timing; changing time signature; rich ornamentation in the interpretation; ternary meter; ambiguity of metrical level,1,0.0946,0.9964,0.0057,0.6455,0.3559,54,0.3526,6.1060,0.6899,0.3850,0.8483,0.0894,0.8063,0.0238,0.3834,0.2074,67,0.3967,6.5481,0.4643,0.2717,0.3713,,
smc_016,0.7952,0.9524,0.9524,0.8293,other,gradual tempo change; expressive timing; low familiarity,2,0.1212,0.9986,0.0002,0.9011,0.2146,50,0.6657,5.9803,0.8602,0.2537,0.9068,0.0644,0.7847,0.0155,0.3019,0.1991,36,0.5576,6.4454,0.3854,0.1898,0.2828,,
smc_017,0.8916,0.9048,0.9048,0.8333,good,quiet accompaniment; lack of transient sounds; excerpt is the introduction of a song; ternary meter,2,0.1344,0.9966,0.0034,0.8112,0.3144,49,0.7457,6.2065,0.8488,0.2681,0.8861,0.0813,0.7482,0.0324,0.2821,0.1605,51,0.4353,6.7171,0.3500,0.1572,0.3412,,
smc_018,0.3396,0.2456,0.2105,0.2200,other,expressive timing; strong syncopation,2,0.2027,0.9957,0.1045,0.3859,0.3375,121,0.5639,6.9771,0.4204,0.3514,0.8008,0.0945,0.7120,0.0557,0.2401,0.1763,48,0.2824,6.9311,0.2195,0.1728,0.3272,,
smc_019,0.8679,0.5333,0.5333,0.5634,other,slow tempo; expressive timing; lack of transient sounds; missing bass,1,0.0942,0.9816,0.0010,0.6239,0.3453,48,0.4845,6.0395,0.8765,0.1401,0.7531,0.0781,0.7421,0.0021,0.4363,0.1783,52,0.7619,6.1643,0.5024,0.1026,0.4705,,
smc_021,0.4673,0.6111,0.6111,0.5769,other,quiet accompaniment; slow tempo; excerpt is the introduction of a song; tempo incontinuity,2,0.1675,0.9985,0.0201,0.7863,0.2917,62,0.7610,6.5425,0.5758,0.4101,0.8194,0.0686,0.7073,0.0244,0.2789,0.1883,30,0.6554,6.6059,0.2541,0.1946,0.2865,,
smc_022,0.9487,0.8750,0.8750,0.6420,other,expressive timing; low familiarity with the song/style,2,0.0835,0.9981,0.0028,0.7188,0.3608,49,0.2451,5.8697,0.9375,0.1394,0.7545,0.0728,0.7897,0.0139,0.3613,0.2191,50,0.3334,6.3597,0.5377,0.1664,0.2952,,
smc_023,0.6667,0.8049,0.0513,0.6452,other,slow tempo; tempo incontinuity; expressive timing; ternary meter; rich ornamentation in the interpretation; missing bass,1,0.0500,0.9997,0.0000,0.8593,0.2546,45,0.3271,5.0705,0.9380,0.2134,0.8917,0.0634,0.7920,0.0037,0.4380,0.2415,43,0.4488,5.9975,0.6344,0.0934,0.5175,,
smc_024,0.7200,0.4200,0.2267,0.6984,other,expressive timing; pauses; ternary meter,2,0.0816,0.9976,0.0046,0.5667,0.3313,80,0.1955,6.0426,0.5753,0.3740,0.6872,0.0846,0.8559,0.0183,0.3800,0.1999,61,0.3978,6.4808,0.3803,0.2160,0.1918,,
smc_026,0.7458,0.9333,0.9333,0.6441,other,slow tempo; lack of transient sounds; gradual tempo change,2,0.0739,0.9970,0.0001,0.9833,0.0282,35,0.6207,5.4519,0.7830,0.3299,0.9656,0.0649,0.6467,0.0036,0.3706,0.1649,35,0.7602,6.1698,0.4435,0.1268,0.4479,,
smc_027,0.5682,0.3922,0.3922,0.8108,other,slow tempo; gradual tempo change; expressive timing; rich ornamentation in the interpretation; quiet accompaniment,2,0.1340,0.9986,0.0056,0.7228,0.3295,73,0.2820,6.2406,0.7743,0.3375,0.8695,0.0637,0.7458,0.0040,0.3537,0.2019,41,0.5020,6.1489,0.4345,0.1723,0.4707,,
smc_028,0.4255,0.7188,0.0161,0.4124,octave_error,gradual tempo change; expressive timing; ternary meter,2,0.0757,0.9987,0.0029,0.6384,0.3503,49,0.3395,5.8723,0.3474,0.3984,0.9175,0.0600,0.7287,0.0098,0.3333,0.1861,45,0.3454,6.3161,0.2422,0.2116,0.3343,,
smc_030,0.9407,0.8250,0.8250,0.5096,other,expressive timing; rich ornamentation in the interpretation; strong syncopation; quiet accompaniment; ternary meter,2,0.2019,1.0000,0.0040,0.9148,0.2237,138,0.7806,6.3559,0.9175,0.2233,0.8440,0.0771,0.8923,0.0039,0.4812,0.2361,62,0.6635,6.0517,0.2747,0.3060,0.2224,,
smc_032,0.6118,0.5000,0.5000,0.5794,other,changing time signature; tempo incontinuity; pauses; lack of transient sounds; lack of harmonic change; wide dynamic range; rich ornamentation in the interpretation,3,0.0914,0.9971,0.0293,0.6159,0.3538,35,0.6911,6.6016,0.4820,0.3955,0.7506,0.0624,0.7843,0.0187,0.3441,0.2245,33,0.7463,6.4254,0.3129,0.2626,0.2404,,
smc_033,0.7027,0.7069,0.7069,0.5294,other,slow tempo; gradual tempo change; tempo incontinuity; expressive timing; missing bass; ternary meter,2,0.1596,0.9975,0.0122,0.7842,0.3136,72,0.5592,6.4322,0.7159,0.3462,0.8770,0.0618,0.8192,0.0093,0.3254,0.1924,39,0.2443,6.3130,0.2612,0.2237,0.2931,,
smc_034,0.9459,1.0000,1.0000,0.8919,good,tempo incontinuity; gradual tempo change,1,0.0909,0.9947,0.0000,0.9446,0.1722,41,0.8158,5.7379,0.9339,0.1728,0.9170,0.0633,0.6791,0.0022,0.4226,0.1657,42,0.8465,6.0352,0.4832,0.1123,0.4028,,
smc_035,0.7536,0.9714,0.9714,0.7246,other,quiet accompaniment; lack of harmonic change,1,0.0880,0.9921,0.0001,0.8589,0.2011,40,0.6180,5.7651,0.7516,0.2401,0.9314,0.0486,0.5851,0.0139,0.2704,0.1358,17,0.5181,6.4848,0.2451,0.1450,0.2756,,
smc_036,0.7292,0.6338,0.2000,0.6182,other,slow tempo; lack of transient sounds,1,0.1915,0.9832,0.0390,0.7116,0.2914,75,0.7979,6.7015,0.8637,0.2299,0.7186,0.0971,0.7793,0.0026,0.5663,0.1608,73,0.8588,6.1825,0.5437,0.2125,0.4925,,
smc_037,0.5882,0.7647,0.0294,0.5915,other,quiet accompaniment; slow tempo; gradual tempo change; expressive timing; pauses; poor sound quality; rich ornamentation in the interpretation,3,0.0364,0.9985,0.0002,0.6986,0.3578,24,0.1890,5.1084,0.4603,0.4473,0.7770,0.0713,0.6961,0.0150,0.3676,0.1989,44,0.3437,6.4076,0.4287,0.2320,0.3219,,
smc_038,0.7733,0.8205,0.8205,0.8056,other,expressive timing; missing bass,1,0.0750,0.9991,0.0012,0.7858,0.3320,45,0.5077,5.7484,0.8141,0.3077,0.8647,0.0626,0.8170,0.0090,0.4239,0.2244,39,0.4776,6.2093,0.5085,0.2145,0.3567,,
smc_041,0.9268,0.8780,0.8780,0.5057,other,quiet accompaniment; lack of transient sounds,1,0.1307,0.9972,0.0041,0.6975,0.3548,54,0.8075,6.2421,0.8723,0.1880,0.7901,0.0616,0.6649,0.0148,0.2642,0.1784,37,0.3310,6.4311,0.2916,0.2151,0.3063,,
smc_042,0.8333,0.6061,0.6061,0.5750,other,slow tempo; expressive timing; missing bass; rich ornamentation in the interpretation; ternary meter,1,0.0584,0.9983,0.0002,0.7907,0.3060,43,0.3015,5.3460,0.8320,0.3206,0.8494,0.0821,0.8376,0.0022,0.5442,0.2033,57,0.6615,6.0836,0.5661,0.1800,0.5508,,
smc_043,0.8113,0.6964,0.6964,0.7037,other,expressive timing; pauses; rich ornamentation in the interpretation; ternary meter,3,0.1823,0.9839,0.0720,0.6248,0.3437,80,0.4446,6.8883,0.8267,0.2052,0.7506,0.0761,0.8398,0.0122,0.4007,0.2236,57,0.3936,6.3130,0.4520,0.2176,0.2876,,
smc_044,0.7750,0.6279,0.6279,0.7674,other,expressive timing; missing bass,1,0.0495,0.9991,0.0003,0.6640,0.3644,49,0.1704,5.3829,0.5726,0.3830,0.9478,0.0664,0.7505,0.0072,0.4268,0.2007,47,0.4160,6.2042,0.4668,0.1790,0.4092,,
smc_046,0.6410,0.8250,0.8250,0.5526,other,expressive timing; strong syncopation; missing bass; slow tempo,1,0.0717,0.9994,0.0005,0.8657,0.2573,47,0.5957,5.4895,0.6368,0.4130,0.9250,0.0745,0.8286,0.0093,0.4197,0.2256,51,0.4730,6.2254,0.3512,0.2651,0.5844,,
smc_047,0.5333,0.8462,0.0196,0.4000,octave_error,slow tempo; gradual tempo change; expressive timing; lack of transient sounds,2,0.1014,0.9666,0.0055,0.6902,0.2987,31,0.4885,6.2116,0.4301,0.3960,0.8610,0.0475,0.5341,0.0049,0.2927,0.1155,22,0.4871,6.2443,0.1741,0.1613,0.2945,,
smc_048,0.5000,0.7083,0.7083,0.3922,other,quiet accompaniment; slow tempo,1,0.1128,0.9590,0.0225,0.6166,0.3127,27,0.3430,6.5116,0.6410,0.2256,0.7938,0.0567,0.4806,0.0121,0.2435,0.1303,26,0.3842,6.4867,0.2543,0.1306,0.2828,,
smc_051,0.5474,0.4483,0.4483,0.7297,other,slow tempo; gradual tempo change; tempo incontinuity; expressive timing; missing bass,2,0.1107,0.9998,0.0001,0.9291,0.1966,64,0.6560,5.8027,0.7537,0.3938,0.9620,0.0900,0.8379,0.0103,0.4824,0.2057,68,0.6144,6.3028,0.4979,0.2384,0.5775,,
smc_052,0.7103,0.8704,0.8704,0.7925,other,quiet accompaniment; slow tempo; gradual tempo change; tempo incontinuity; expressive timing,2,0.1371,0.9985,0.0006,0.9295,0.1893,63,0.6839,6.0519,0.7110,0.3855,0.9580,0.0564,0.7405,0.0093,0.3148,0.1832,33,0.4983,6.2859,0.2986,0.2067,0.3263,,
smc_054,0.9444,0.9459,0.9459,0.8889,good,quiet accompaniment; pauses,1,0.1161,0.9868,0.0001,0.8901,0.1910,43,0.8482,6.0680,0.9501,0.0600,0.7142,0.0991,0.8194,0.0117,0.4740,0.2222,61,0.8022,6.3180,0.6338,0.1340,0.3201,,
smc_055,0.5397,0.4167,0.1282,0.3103,other,quiet accompaniment; slow tempo; expressive timing; missing bass; ternary meter,3,0.1485,0.9671,0.0873,0.3798,0.2978,39,0.4134,7.0525,0.4756,0.2821,0.6320,0.0429,0.5362,0.0119,0.2274,0.1102,12,0.2873,6.5341,0.1253,0.1392,0.2166,,
smc_056,0.3226,0.1453,0.1042,0.1653,other,expressive timing; gradual tempo change; strong syncopation,2,0.3079,0.9840,0.2411,0.4043,0.3136,196,0.3654,7.2577,0.5716,0.3015,0.7679,0.0822,0.7851,0.0374,0.2641,0.1847,49,0.1728,6.7324,0.1803,0.1810,0.3203,,
smc_057,0.4839,0.6571,0.6571,0.4000,other,slow tempo; lack of transient sounds; missing bass; wide dynamic range; no repetition; low familiarity,4,0.1085,0.9779,0.0344,0.5426,0.3578,36,0.6718,6.6490,0.4629,0.3453,0.8509,0.0595,0.6304,0.0148,0.2606,0.1615,38,0.4557,6.5269,0.2003,0.1420,0.3149,,
smc_058,0.4638,0.7500,0.7500,0.5634,octave_error,slow tempo; lack of transient sounds; ternary meter,1,0.1313,0.9875,0.0049,0.6339,0.3471,45,0.6156,6.3457,0.5296,0.3615,0.8262,0.0538,0.5866,0.0092,0.2777,0.1436,24,0.5147,6.3819,0.2360,0.1756,0.2458,,
smc_059,0.3750,0.0000,0.0000,0.9048,other,quiet accompaniment; wide dynamic range,2,0.8529,1.0000,0.9772,0.4849,0.2962,176,0.5734,7.5458,0.9894,0.0391,0.9967,0.0667,0.7688,0.0051,0.4518,0.2104,41,0.8740,6.1144,0.4961,0.1886,0.5166,,
smc_060,0.6053,0.6098,0.6098,0.6154,other,slow tempo; lack of transient sounds; missing bass,1,0.1164,0.9850,0.0028,0.7248,0.3494,51,0.6503,6.2784,0.6375,0.3553,0.8846,0.0569,0.6312,0.0071,0.3415,0.1664,40,0.6720,6.2564,0.3476,0.1855,0.2973,,
smc_061,0.5397,0.7333,0.1000,0.5294,other,slow tempo; expressive timing; lack of transient sounds; missing bass; ternary meter,1,0.1014,0.9628,0.0081,0.6588,0.2793,49,0.5442,6.2921,0.7290,0.2561,0.7664,0.0741,0.7301,0.0047,0.3752,0.1459,43,0.8599,6.3023,0.3994,0.1397,0.3764,,
smc_063,0.7000,0.7255,0.7255,0.8155,other,slow tempo; expressive timing; lack of transient sounds,2,0.1718,0.9941,0.0557,0.7046,0.2978,59,0.7344,6.7582,0.7180,0.2735,0.7356,0.0622,0.8645,0.0192,0.3059,0.1696,31,0.6085,6.5290,0.3076,0.1870,0.2621,,
smc_064,0.0000,0.2222,0.0185,0.0000,total_failure,poor sound quality; wide dynamic range,1,0.1531,0.9940,0.0047,0.7998,0.2615,64,0.8422,6.3466,0.1350,0.2000,0.8814,0.0786,0.7124,0.0049,0.4012,0.1720,46,0.8730,6.3025,0.0620,0.0730,0.4297,wrong_peaks,wrong_peaks
smc_065,0.9767,1.0000,1.0000,0.9535,good,strong syncopation; missing bass,1,0.0886,0.9997,0.0000,0.9779,0.1050,49,0.8245,5.5474,0.9526,0.1664,0.7954,0.0732,0.8793,0.0120,0.4006,0.2337,49,0.7540,6.2882,0.5444,0.1965,0.2889,,
smc_066,0.5306,0.6667,0.6667,0.7407,other,slow tempo; expressive timing; lack of transient sounds; missing bass; ambiguity of metrical level; ternary meter,3,0.1202,0.9782,0.0370,0.5350,0.3608,30,0.6126,6.6574,0.6527,0.2788,0.8496,0.0521,0.5662,0.0105,0.2844,0.1442,23,0.6069,6.3916,0.3122,0.1403,0.2688,,
smc_067,0.8713,0.9412,0.9412,0.8317,good,slow tempo; strong syncopation,1,0.1535,0.9946,0.0000,0.9513,0.1519,60,0.8565,6.1064,0.9023,0.1693,0.9749,0.0676,0.7782,0.0009,0.5029,0.1992,55,0.6905,5.9211,0.4596,0.2168,0.5229,,
smc_068,0.9245,0.9811,0.9811,0.8491,good,lack of transient sounds; missing bass; ternary meter,1,0.0919,0.9999,0.0000,0.9952,0.0061,61,0.6485,5.6222,0.8784,0.2592,0.9936,0.0681,0.6784,0.0015,0.3941,0.1707,51,0.6331,6.0987,0.3757,0.1745,0.3773,,
smc_069,0.8041,0.8980,0.8980,0.7600,other,expressive timing; rich ornamentation in the interpretation,3,0.1415,0.9982,0.0046,0.6601,0.3723,77,0.7204,6.2934,0.8191,0.2742,0.8402,0.0827,0.8649,0.0025,0.5547,0.2128,58,0.6973,6.0695,0.5934,0.1940,0.4258,,
smc_071,0.9670,0.9565,0.9565,0.9130,good,expressive timing; missing bass; ternary meter,1,0.0775,0.9999,0.0000,0.9663,0.1456,52,0.5802,5.3320,0.9168,0.2254,0.9834,0.0734,0.8215,0.0046,0.4502,0.1973,54,0.7889,6.1417,0.5306,0.1320,0.4329,,
smc_072,0.8861,0.9750,0.9750,0.9231,good,quiet accompaniment; expressive timing; pauses,2,0.0794,0.9993,0.0001,0.8723,0.2789,45,0.6623,5.5306,0.9241,0.2001,0.9401,0.0597,0.8079,0.0012,0.4676,0.2100,42,0.7187,5.8644,0.5507,0.1456,0.5079,,
smc_073,0.8889,0.9512,0.9512,0.8537,good,quiet accompaniment; tempo incontinuity; gradual tempo change; lack of harmonic change,2,0.1168,0.9982,0.0019,0.8325,0.3018,49,0.7650,6.0351,0.8656,0.2188,0.9719,0.0656,0.7655,0.0007,0.4969,0.1598,47,0.8260,5.9113,0.4951,0.1525,0.5130,,
smc_074,0.5070,0.0000,0.0000,0.7290,other,expressive timing; ternary meter; missing bass,2,0.0543,0.9875,0.0000,0.5741,0.4022,39,0.2558,5.0592,0.3187,0.4496,0.0000,0.0678,0.6841,0.0164,0.3731,0.1684,47,0.2748,6.4788,0.3933,0.1611,0.2453,,
smc_075,0.5882,0.5957,0.5957,0.5495,other,quiet accompaniment; high syncopation,2,0.1251,0.9993,0.0324,0.6627,0.3181,52,0.7473,6.5628,0.4976,0.3585,0.7857,0.0547,0.7726,0.0075,0.3605,0.2149,31,0.5668,6.1913,0.2677,0.2443,0.2770,,
smc_076,0.4646,0.1346,0.1346,0.6667,other,tempo incontinuity; expressive timing,2,0.2077,0.9655,0.1219,0.3386,0.2882,140,0.3022,7.1466,0.4640,0.3228,0.7136,0.0600,0.7926,0.0121,0.3691,0.2228,42,0.4405,6.2971,0.3440,0.2297,0.3398,,
smc_079,0.6971,0.5373,0.1574,0.6012,other,expressive timing; tempo incontinuity; gradual tempo change; ternary meter,2,0.1339,0.9949,0.0252,0.5996,0.3594,91,0.3626,6.5139,0.6001,0.3745,0.7773,0.0961,0.8071,0.0259,0.3742,0.2224,71,0.4118,6.5567,0.3417,0.2496,0.3366,,
smc_080,0.3810,0.2500,0.0000,0.2951,other,changing time signature; gradual tempo change; tempo incontinuity; expressive timing; pauses; missing bass; ternary meter,3,0.1679,0.9849,0.0907,0.4257,0.3529,80,0.2809,7.0597,0.6969,0.3524,0.8280,0.0618,0.7314,0.0137,0.3496,0.1885,45,0.0858,6.3774,0.3958,0.2194,0.3558,,
smc_082,0.9661,0.8852,0.8852,0.8361,good,tempo incontinuity; ternary meter; missing bass,3,0.1932,0.9947,0.0436,0.8215,0.2614,78,0.8322,6.7058,0.9021,0.1671,0.8249,0.0767,0.7909,0.0157,0.3792,0.1930,53,0.5719,6.4214,0.4091,0.1826,0.1744,,
smc_084,0.0667,0.0800,0.0800,0.0851,total_failure,slow tempo; lack of transient sounds; beat phase ambiguity; missing bass; changing time signature,2,0.1064,0.7638,0.0837,0.1837,0.1574,14,0.4700,7.2968,0.1773,0.1458,0.6238,0.0480,0.3693,0.0333,0.1407,0.0638,2,0.2421,7.0785,0.0598,0.0547,0.1554,wrong_peaks,flat_activations
smc_085,0.2812,0.6562,0.6562,0.2623,octave_error,lack of transient sounds; quiet accompaniment; ternary,2,0.1254,0.9775,0.0003,0.8722,0.1631,38,0.7993,6.1048,0.5056,0.3738,0.8939,0.0538,0.5392,0.0037,0.3175,0.1422,24,0.7312,6.1974,0.1688,0.1354,0.3856,,
smc_086,0.8750,0.7500,0.7500,0.8101,good,slow tempo; gradual tempo change; tempo discontinuity; expressive timing; pauses; quiet accompaniment; rich ornamentation in the interpretation,2,0.1080,0.9986,0.0068,0.7456,0.3407,48,0.4538,6.1684,0.8686,0.2227,0.8177,0.0511,0.6429,0.0082,0.3069,0.1632,34,0.4247,6.2848,0.3638,0.1522,0.1625,,
smc_087,0.8088,0.5789,0.5789,0.9917,good,"poor sound quality; lack of transient sounds; ""cd skips""",2,0.1617,0.9996,0.0055,0.7810,0.3073,102,0.8674,6.3189,0.9248,0.1840,0.8346,0.0849,0.7722,0.0047,0.5260,0.1553,65,0.8853,6.1605,0.5496,0.1279,0.3080,,
smc_088,0.5205,0.5641,0.5641,0.5352,continuity_drift,quiet accompaniment; slow tempo; gradual tempo change; expressive timing; ternary meter,2,0.1674,0.9980,0.0623,0.4877,0.3593,62,0.6924,6.8152,0.6912,0.3029,0.8403,0.1186,0.7832,0.0522,0.3395,0.2160,75,0.5780,6.7630,0.4917,0.2106,0.4777,,
smc_089,0.6047,0.4000,0.4000,0.7083,other,quiet accompaniment; gradual tempo change; expressive timing,2,0.1265,0.9694,0.0275,0.6473,0.3000,50,0.7598,6.5733,0.5768,0.3214,0.7671,0.0733,0.5858,0.0317,0.2785,0.1467,42,0.6063,6.7232,0.2563,0.1527,0.3476,,
smc_092,0.7480,0.5306,0.2973,0.8859,other,ambiguity of metrical level; wide dynamic range,1,0.1679,0.9891,0.0194,0.5414,0.3762,80,0.8159,6.5466,0.6529,0.3457,0.7453,0.0827,0.8034,0.0128,0.4105,0.2154,58,0.7672,6.3452,0.4363,0.2170,0.1395,,
smc_093,0.7832,0.6316,0.6316,0.4348,other,missing bass; rich ornamentation in the interpretation; beat phase ambiguity,2,0.2101,0.9939,0.0557,0.4978,0.3588,127,0.6108,6.7960,0.7323,0.2881,0.7093,0.0830,0.6564,0.0513,0.1932,0.1310,40,0.2301,6.9889,0.2124,0.1451,0.2617,,
smc_095,0.8387,0.8723,0.8723,0.4634,other,quiet accompaniment; slow tempo; lack of transient sounds; missing bass,2,0.0975,0.9998,0.0006,0.8722,0.2414,55,0.6337,5.8391,0.8329,0.2935,0.8153,0.0685,0.7149,0.0117,0.3616,0.1896,45,0.4306,6.3409,0.2828,0.2122,0.3648,,
smc_096,0.9839,1.0000,1.0000,0.9677,good,lack of transient sounds; missing bass; ternary meter,1,0.1272,0.9992,0.0011,0.9890,0.0625,71,0.8628,5.9359,0.9364,0.1784,0.9978,0.0906,0.7343,0.0006,0.5497,0.0909,69,0.8922,6.0989,0.5363,0.1056,0.5629,,
smc_098,0.7015,0.4639,0.2235,0.7706,other,expressive timing; pauses; wide dynamic range,3,0.3096,0.9987,0.2190,0.6486,0.3467,122,0.8128,7.1257,0.9309,0.0975,0.7951,0.0792,0.8919,0.0120,0.3956,0.2684,50,0.8107,6.3035,0.5348,0.2518,0.2668,,
smc_099,0.5455,0.9091,0.9091,0.3838,octave_error,expressive timing,2,0.0947,0.9952,0.0024,0.7427,0.3625,38,0.6321,5.9197,0.6391,0.3956,0.9735,0.0768,0.7657,0.0022,0.4590,0.1856,51,0.7081,6.1445,0.4190,0.2488,0.3510,,
smc_100,0.4646,0.2740,0.1935,0.5128,other,gradual tempo change; tempo incontinuity; expressive timing; pauses; missing bass,2,0.2076,0.9937,0.1112,0.4617,0.3121,102,0.3713,7.0373,0.6315,0.2937,0.7184,0.0621,0.7805,0.0141,0.2907,0.1981,40,0.2285,6.4278,0.3202,0.2118,0.3129,,
smc_101,0.4938,0.1000,0.0339,0.7288,other,gradual tempo change; expressive timing; ternary meter; missing bass,2,0.0518,0.9958,0.0012,0.5082,0.3509,47,0.1833,5.5387,0.3747,0.4126,0.7680,0.0702,0.7243,0.0106,0.3817,0.1988,55,0.2426,6.3190,0.3971,0.2012,0.2310,,
smc_103,0.4301,0.1852,0.1852,0.5932,other,expressive timing; missing bass,2,0.1507,0.9778,0.0631,0.4480,0.3207,70,0.3089,6.8961,0.4605,0.3397,0.6705,0.0606,0.6223,0.0237,0.2884,0.1627,35,0.2494,6.6691,0.2392,0.1780,0.2250,,
