track_id,gt_bpm,bt_transformer_bpm,tempo_ratio,tempo_class,bt_paper_F,bt_paper_CMLt,bt_paper_AMLt,bt_wide_F,bt_wide_CMLt,bt_wide_AMLt,bt_top1_F,bt_top1_CMLt,bt_top1_AMLt,bt_topk_F,bt_topk_CMLt,bt_topk_AMLt,bt_viterbi_F,bt_viterbi_CMLt,bt_viterbi_AMLt,bt_oracle_F,bt_oracle_CMLt,bt_oracle_AMLt,btthis_native_F,btthis_native_CMLt,btthis_native_AMLt,btthis_dbn55_F,btthis_dbn55_CMLt,btthis_dbn55_AMLt,btthis_dbn30_F,btthis_dbn30_CMLt,btthis_dbn30_AMLt,btthis_top1_F,btthis_top1_CMLt,btthis_top1_AMLt,btthis_topk_F,btthis_topk_CMLt,btthis_topk_AMLt,btthis_oracle_F,btthis_oracle_CMLt,btthis_oracle_AMLt,mm_tcn_F,mm_tcn_CMLt,mm_tcn_AMLt
smc_022,69.36,75.0,1.0813,correct,0.642,0.5349,0.5349,0.642,0.5349,0.5349,0.642,0.5349,0.5349,0.642,0.5349,0.5349,0.642,0.5349,0.5349,0.642,0.5349,0.5349,0.9487,0.875,0.875,0.7342,0.6585,0.6585,0.7368,0.6316,0.6316,0.7342,0.6585,0.6585,0.7368,0.6579,0.6579,0.7342,0.6585,0.6585,0.5432,0.4884,0.4884
smc_023,35.09,69.0,1.9665,double,0.6452,0.0,0.9024,0.6452,0.0,0.9024,0.6452,0.0,0.9024,0.6452,0.0,0.9024,0.6452,0.0,0.9024,0.4878,0.4286,0.5,0.6667,0.0513,0.8049,0.6032,0.0,0.8571,0.6032,0.0,0.8571,0.6032,0.0,0.881,0.6032,0.0,0.8571,0.4878,0.4762,0.4762,0.6452,0.0,0.9024
smc_024,164.84,86.0,0.5217,half,0.6984,0.2133,0.5294,0.6984,0.2133,0.5294,0.72,0.24,0.54,0.6984,0.2133,0.5294,0.72,0.24,0.54,0.791,0.4804,0.4804,0.72,0.2267,0.42,0.6612,0.1867,0.413,0.6034,0.0133,0.8537,0.6129,0.1867,0.449,0.5841,0.0133,0.7368,0.7528,0.466,0.466,0.6457,0.2133,0.3077
smc_026,51.81,53.0,1.0229,correct,0.4045,0.0,0.8167,0.6441,0.9333,0.9333,0.6441,0.9333,0.9333,0.6441,0.9333,0.9333,0.6441,0.9333,0.9333,0.6441,0.9333,0.9333,0.7458,0.9333,0.9333,0.5185,0.1538,0.6667,0.7458,0.9333,0.9333,0.7458,0.9333,0.9333,0.7458,0.9333,0.9333,0.7458,0.9333,0.9333,0.4494,0.0,0.85
smc_027,63.8,65.0,1.0189,correct,0.8108,0.9459,0.9459,0.8108,0.9459,0.9459,0.8108,0.9459,0.9459,0.8108,0.9459,0.9459,0.8108,0.9459,0.9459,0.8108,0.9459,0.9459,0.5682,0.3922,0.3922,0.7297,0.973,0.973,0.7297,0.973,0.973,0.7297,0.973,0.973,0.7297,0.973,0.973,0.7297,0.973,0.973,0.8378,1.0,1.0
smc_028,117.19,60.0,0.512,half,0.4124,0.0323,0.4286,0.4124,0.0323,0.4286,0.4124,0.0323,0.4286,0.4124,0.0323,0.4286,0.4124,0.0323,0.4286,0.6615,0.5588,0.5588,0.4255,0.0161,0.7188,0.3505,0.0161,0.5143,0.4043,0.0323,0.5625,0.3299,0.0,0.5714,0.4043,0.0323,0.5312,0.5271,0.4627,0.4627,0.7634,0.6377,0.6377
smc_030,200.0,66.0,0.33,other,0.5096,0.0,0.1207,0.5096,0.0,0.1207,0.4903,0.0,0.0,0.5096,0.0,0.1207,0.5096,0.0,0.1207,0.6218,0.3852,0.3852,0.9407,0.825,0.825,0.6207,0.0,0.9828,0.6207,0.0,0.9828,0.4774,0.0,0.0,0.6207,0.0,0.9828,0.9528,0.8462,0.8462,0.4645,0.0,0.0
smc_032,89.15,116.0,1.3011,other,0.5794,0.6667,0.6667,0.5794,0.6667,0.6667,0.5088,0.4167,0.4167,0.5794,0.6667,0.6667,0.5794,0.6667,0.6667,0.3404,0.2222,0.2222,0.6118,0.5,0.5,0.6281,0.4179,0.4179,0.5913,0.4426,0.4426,0.5913,0.4426,0.4426,0.5913,0.4426,0.4426,0.2737,0.0926,0.1132,0.5275,0.1852,0.3514
smc_033,92.92,65.0,0.6995,other,0.5294,0.5472,0.5472,0.5294,0.5472,0.5472,0.2222,0.0755,0.0811,0.5294,0.5472,0.5472,0.5294,0.5472,0.5472,0.5849,0.6415,0.6415,0.7027,0.7069,0.7069,0.717,0.8302,0.8302,0.717,0.8302,0.8302,0.2791,0.0,0.3636,0.717,0.8302,0.8302,0.6981,0.8302,0.8302,0.6481,0.7818,0.7818
smc_034,63.39,60.0,0.9465,correct,0.8919,1.0,1.0,0.8919,1.0,1.0,0.8919,1.0,1.0,0.8919,1.0,1.0,0.8919,1.0,1.0,0.8919,1.0,1.0,0.9459,1.0,1.0,0.9459,1.0,1.0,0.9459,1.0,1.0,0.9459,1.0,1.0,0.9459,1.0,1.0,0.9459,1.0,1.0,0.8919,1.0,1.0
smc_035,58.25,59.0,1.0128,correct,0.7246,0.9429,0.9429,0.7246,0.9429,0.9429,0.7246,0.9429,0.9429,0.7246,0.9429,0.9429,0.7246,0.9429,0.9429,0.7353,0.9706,0.9706,0.7536,0.9714,0.9714,0.7941,1.0,1.0,0.7826,0.9714,0.9714,0.7941,1.0,1.0,0.7941,1.0,1.0,0.7941,1.0,1.0,0.7647,1.0,1.0
smc_036,61.54,125.0,2.0312,double,0.6182,0.0,0.9189,0.6182,0.0,0.9189,0.6182,0.0,0.9189,0.6182,0.0,0.9189,0.6182,0.0,0.9189,0.9167,0.9444,0.9444,0.7292,0.2,0.6338,0.5946,0.0,0.84,0.5946,0.0,0.84,0.5946,0.0,0.84,0.5946,0.0,0.84,0.9167,0.9722,0.9722,0.9167,0.9167,0.9167
smc_037,58.77,60.0,1.021,correct,0.4752,0.0,0.597,0.5915,0.4595,0.4595,0.5915,0.4595,0.4595,0.5915,0.4595,0.4595,0.5915,0.4595,0.4595,0.7143,0.6111,0.6111,0.5882,0.0294,0.7647,0.6857,0.6667,0.6667,0.8182,0.7647,0.7647,0.9412,1.0,1.0,0.8182,0.7647,0.7647,0.9412,1.0,1.0,0.551,0.0,0.6567
smc_038,61.86,64.0,1.0347,correct,0.8056,0.9444,0.9444,0.8056,0.9444,0.9444,0.8056,0.9444,0.9444,0.8056,0.9444,0.9444,0.8056,0.9444,0.9444,0.8056,0.9444,0.9444,0.7733,0.8205,0.8205,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.7778,1.0,1.0
smc_041,70.74,65.0,0.9189,correct,0.5057,0.413,0.413,0.5057,0.413,0.413,0.6173,0.6341,0.6341,0.5057,0.413,0.413,0.5057,0.413,0.413,0.5122,0.5366,0.5366,0.9268,0.878,0.878,0.9639,0.9762,0.9762,0.9639,0.9762,0.9762,0.9639,0.9762,0.9762,0.9639,0.9762,0.9762,0.9639,0.9762,0.9762,0.716,0.7805,0.7805
smc_042,46.15,91.0,1.9717,double,0.575,0.0,1.0,0.575,0.0,1.0,0.575,0.0,1.0,0.575,0.0,1.0,0.575,0.0,1.0,0.8519,1.0,1.0,0.8333,0.6061,0.6061,0.6,0.0,1.0,0.6,0.0,1.0,0.6,0.0,1.0,0.6,0.0,1.0,0.8889,1.0,1.0,0.6,0.0,1.0
smc_043,92.31,93.0,1.0075,correct,0.7037,0.5517,0.5517,0.7037,0.5517,0.5517,0.6729,0.5263,0.5263,0.7037,0.5517,0.5517,0.7037,0.5517,0.5517,0.6729,0.5263,0.5263,0.8113,0.6964,0.6964,0.6538,0.5926,0.5926,0.3467,0.02,0.32,0.5962,0.537,0.537,0.6538,0.5926,0.5926,0.6154,0.5926,0.5926,0.6852,0.569,0.569
smc_044,76.46,75.0,0.9809,correct,0.7674,0.9767,0.9767,0.7674,0.9767,0.9767,0.6742,0.8043,0.8043,0.7674,0.9767,0.9767,0.7674,0.9767,0.9767,0.6742,0.8043,0.8043,0.775,0.6279,0.6279,0.8605,0.9767,0.9767,0.8837,0.9767,0.9767,0.7907,0.907,0.907,0.8605,0.9767,0.9767,0.7727,0.8222,0.8222,0.7356,0.8182,0.8182
smc_046,65.22,65.0,0.9967,correct,0.5526,0.8421,0.8421,0.5526,0.8421,0.8421,0.5526,0.8421,0.8421,0.5526,0.8421,0.8421,0.5526,0.8421,0.8421,0.5526,0.8421,0.8421,0.641,0.825,0.825,0.7105,0.8947,0.8947,0.7105,0.9211,0.9211,0.7105,0.8158,0.8158,0.7105,0.9211,0.9211,0.7105,0.8158,0.8158,0.6053,0.8684,0.8684
smc_047,87.53,47.0,0.537,half,0.495,0.7647,0.7647,0.4,0.0,0.8846,0.4,0.0,0.8846,0.4,0.0,0.8846,0.4,0.0,0.8846,0.495,0.7647,0.7647,0.5333,0.0196,0.8462,0.7647,0.8431,0.8431,0.5526,0.0,0.9615,0.5526,0.0,0.9615,0.5526,0.0,0.9615,0.7647,0.8431,0.8431,0.7723,0.8824,0.8824
smc_048,33.56,64.0,1.9072,double,0.3051,0.0,0.7436,0.3922,0.2903,0.4103,0.3051,0.0,0.7436,0.3922,0.2903,0.4103,0.3922,0.2903,0.4103,0.45,0.95,0.95,0.5,0.7083,0.7083,0.339,0.0,0.9231,0.55,1.0,1.0,0.339,0.0,0.9231,0.55,1.0,1.0,0.55,1.0,1.0,0.3729,0.0,0.8974
smc_051,63.03,60.0,0.952,correct,0.7297,0.973,0.973,0.7297,0.973,0.973,0.7297,0.973,0.973,0.7297,0.973,0.973,0.7297,0.973,0.973,0.7297,0.973,0.973,0.5474,0.4483,0.4483,0.7297,1.0,1.0,0.7297,1.0,1.0,0.7297,1.0,1.0,0.7297,1.0,1.0,0.7297,1.0,1.0,0.7568,1.0,1.0
smc_052,90.84,92.0,1.0128,correct,0.7925,0.8868,0.8868,0.7925,0.8868,0.8868,0.7925,0.8868,0.8868,0.7925,0.8868,0.8868,0.7925,0.8868,0.8868,0.7925,0.8868,0.8868,0.7103,0.8704,0.8704,0.7358,0.9057,0.9057,0.7358,0.9057,0.9057,0.7358,0.9057,0.9057,0.7358,0.9057,0.9057,0.7358,0.9057,0.9057,0.717,0.8113,0.8113
smc_054,63.39,63.0,0.9938,correct,0.8889,0.9459,0.9459,0.8889,0.9459,0.9459,0.8889,0.9459,0.9459,0.8889,0.9459,0.9459,0.8889,0.9459,0.9459,0.8889,0.9459,0.9459,0.9444,0.9459,0.9459,0.9444,0.9459,0.9459,0.9444,0.9459,0.9459,0.9444,0.9459,0.9459,0.9444,0.9459,0.9459,0.9444,0.9459,0.9459,0.9167,0.9459,0.9459
smc_055,67.64,47.0,0.6949,other,0.35,0.3659,0.3659,0.3103,0.0,0.9,0.2985,0.0513,0.0714,0.3103,0.0,0.9,0.3103,0.0,0.9,0.3944,0.359,0.359,0.5397,0.1282,0.4167,0.7532,0.8462,0.8462,0.7532,0.8462,0.8462,0.2319,0.0513,0.0513,0.7532,0.8462,0.8462,0.7532,0.8462,0.8462,0.3093,0.0,0.0
smc_056,104.17,99.0,0.9504,correct,0.1653,0.2419,0.3548,0.1653,0.2419,0.3548,0.1667,0.2951,0.3607,0.1653,0.2419,0.3548,0.1653,0.2419,0.3548,0.1653,0.2419,0.3548,0.3226,0.1042,0.1453,0.2568,0.0112,0.0342,0.3059,0.0,0.2667,0.3621,0.3898,0.3898,0.3059,0.0,0.2667,0.3621,0.3898,0.3898,0.1869,0.0169,0.1552
smc_057,61.61,61.0,0.9901,correct,0.4,0.8286,0.8286,0.4,0.8286,0.8286,0.4,0.8286,0.8286,0.4,0.8286,0.8286,0.4,0.8286,0.8286,0.4,0.8286,0.8286,0.4839,0.6571,0.6571,0.5143,0.8286,0.8286,0.5797,0.8571,0.8571,0.5797,0.8286,0.8286,0.4928,0.7714,0.7714,0.5797,0.8286,0.8286,0.3467,0.475,0.475
smc_058,62.89,61.0,0.9699,correct,0.5634,0.7222,0.7222,0.5634,0.7222,0.7222,0.5634,0.7222,0.7222,0.5634,0.7222,0.7222,0.5634,0.7222,0.7222,0.5634,0.7222,0.7222,0.4638,0.75,0.75,0.4444,0.8056,0.8056,0.4444,0.8056,0.8056,0.4444,0.8056,0.8056,0.4444,0.8056,0.8056,0.4444,0.8056,0.8056,0.5135,0.7632,0.7632
smc_059,71.43,70.0,0.98,correct,0.9048,1.0,1.0,0.9048,1.0,1.0,0.9048,1.0,1.0,0.9048,1.0,1.0,0.9048,1.0,1.0,0.9048,1.0,1.0,0.375,0.0,0.0,0.032,0.0,0.0482,0.032,0.0,0.0482,0.2368,0.0714,0.0714,0.032,0.0,0.0482,0.1,0.0714,0.0714,0.9157,0.9762,0.9762
smc_060,70.59,68.0,0.9633,correct,0.6154,0.6585,0.6585,0.6154,0.6585,0.6585,0.6154,0.6585,0.6585,0.6154,0.6585,0.6585,0.6154,0.6585,0.6585,0.6154,0.6585,0.6585,0.6053,0.6098,0.6098,0.575,0.561,0.561,0.575,0.561,0.561,0.525,0.561,0.561,0.575,0.561,0.561,0.55,0.561,0.561,0.8293,1.0,1.0
smc_061,40.0,80.0,2.0,double,0.5294,0.0,0.9333,0.5294,0.0,0.9333,0.5294,0.0,0.9333,0.5294,0.0,0.9333,0.5294,0.0,0.9333,0.6522,0.8261,0.8261,0.5397,0.1,0.7333,0.4706,0.0,0.9111,0.7391,0.913,0.913,0.4706,0.0,0.9111,0.7391,0.913,0.913,0.7391,0.913,0.913,0.5429,0.0,0.9149
smc_063,88.24,85.0,0.9633,correct,0.8155,0.9231,0.9231,0.8155,0.9231,0.9231,0.8155,0.9231,0.9231,0.8155,0.9231,0.9231,0.8155,0.9231,0.9231,0.8155,0.9231,0.9231,0.7,0.7255,0.7255,0.7961,0.9231,0.9231,0.7961,0.9231,0.9231,0.7961,0.9231,0.9231,0.7961,0.9231,0.9231,0.7961,0.9231,0.9231,0.7961,0.9615,0.9615
smc_064,44.18,85.0,1.9238,double,0.0,0.0,0.0392,0.0,0.0,0.0392,0.0,0.0,0.0392,0.0,0.0,0.0392,0.0,0.0,0.0392,0.0,0.76,0.76,0.0,0.0185,0.2222,0.0,0.0,0.2157,0.0,0.0,0.2157,0.0,0.0,0.2157,0.0,0.0,0.2157,0.0,0.88,0.88,0.3421,0.0,0.5294
smc_065,73.17,74.0,1.0113,correct,0.9535,1.0,1.0,0.9535,1.0,1.0,0.9535,1.0,1.0,0.9535,1.0,1.0,0.9535,1.0,1.0,0.9535,1.0,1.0,0.9767,1.0,1.0,0.9767,1.0,1.0,0.9767,1.0,1.0,0.9767,1.0,1.0,0.9767,1.0,1.0,0.9767,1.0,1.0,0.9302,0.9302,0.9302
smc_066,47.1,46.0,0.9767,correct,0.4691,0.0,0.7778,0.7407,0.963,0.963,0.7407,0.963,0.963,0.7407,0.963,0.963,0.7407,0.963,0.963,0.7407,0.963,0.963,0.5306,0.6667,0.6667,0.3562,0.0217,0.4906,0.5926,0.963,0.963,0.5556,1.0,1.0,0.6296,1.0,1.0,0.5556,1.0,1.0,0.3704,0.0,0.8148
smc_067,86.96,85.0,0.9775,correct,0.8317,0.9412,0.9412,0.8317,0.9412,0.9412,0.8317,0.9412,0.9412,0.8317,0.9412,0.9412,0.8317,0.9412,0.9412,0.8317,0.9412,0.9412,0.8713,0.9412,0.9412,0.8713,0.9412,0.9412,0.8713,0.9412,0.9412,0.8713,0.9412,0.9412,0.8713,0.9412,0.9412,0.8713,0.9412,0.9412,0.7723,0.9412,0.9412
smc_068,92.31,91.0,0.9858,correct,0.8491,0.9811,0.9811,0.8491,0.9811,0.9811,0.8491,0.9811,0.9811,0.8491,0.9811,0.9811,0.8491,0.9811,0.9811,0.8491,0.9811,0.9811,0.9245,0.9811,0.9811,0.9434,0.9811,0.9811,0.9434,0.9811,0.9811,0.9434,0.9811,0.9811,0.9434,0.9811,0.9811,0.9434,0.9811,0.9811,0.9245,1.0,1.0
smc_069,86.71,89.0,1.0265,correct,0.76,0.7308,0.7308,0.76,0.7308,0.7308,0.76,0.7308,0.7308,0.76,0.7308,0.7308,0.76,0.7308,0.7308,0.76,0.7308,0.7308,0.8041,0.898,0.898,0.701,0.7347,0.7347,0.701,0.7347,0.7347,0.6804,0.7143,0.7143,0.701,0.7347,0.7347,0.6804,0.7143,0.7143,0.7327,0.6981,0.6981
smc_071,79.68,80.0,1.004,correct,0.913,1.0,1.0,0.913,1.0,1.0,0.913,1.0,1.0,0.913,1.0,1.0,0.913,1.0,1.0,0.913,1.0,1.0,0.967,0.9565,0.9565,0.9783,1.0,1.0,0.9783,1.0,1.0,0.9783,1.0,1.0,0.9783,1.0,1.0,0.9783,1.0,1.0,0.9348,0.9783,0.9783
smc_072,67.87,65.0,0.9577,correct,0.9231,1.0,1.0,0.9231,1.0,1.0,0.9231,1.0,1.0,0.9231,1.0,1.0,0.9231,1.0,1.0,0.9231,1.0,1.0,0.8861,0.975,0.975,0.8974,0.9744,0.9744,0.8974,1.0,1.0,0.8974,1.0,1.0,0.8974,1.0,1.0,0.8974,0.9744,0.9744,0.9487,1.0,1.0
smc_073,70.46,69.0,0.9793,correct,0.8537,1.0,1.0,0.8537,1.0,1.0,0.8537,1.0,1.0,0.8537,1.0,1.0,0.8537,1.0,1.0,0.8537,1.0,1.0,0.8889,0.9512,0.9512,0.9268,1.0,1.0,0.9268,1.0,1.0,0.9268,1.0,1.0,0.9268,1.0,1.0,0.9268,1.0,1.0,0.9024,1.0,1.0
smc_074,94.64,45.0,0.4755,half,0.729,0.7222,0.7222,0.729,0.7222,0.7222,0.4578,0.0377,0.4667,0.729,0.7222,0.7222,0.729,0.7222,0.7222,0.7706,0.7679,0.7679,0.507,0.0,0.0,0.4045,0.0566,0.0833,0.3333,0.0,0.037,0.525,0.0189,0.6667,0.4045,0.0566,0.0833,0.729,0.7593,0.7593,0.7358,0.7358,0.7358
smc_075,81.97,76.0,0.9272,correct,0.5495,0.5745,0.5745,0.5495,0.5745,0.5745,0.5495,0.5745,0.5745,0.5495,0.5745,0.5745,0.5495,0.5745,0.5745,0.5495,0.5745,0.5745,0.5882,0.5957,0.5957,0.5652,0.7234,0.7234,0.5652,0.7234,0.7234,0.5652,0.7234,0.7234,0.5652,0.7234,0.7234,0.5652,0.7234,0.7234,0.5618,0.5745,0.5745
smc_076,86.89,85.0,0.9782,correct,0.6667,0.8085,0.8085,0.6667,0.8085,0.8085,0.6667,0.8085,0.8085,0.6667,0.8085,0.8085,0.6667,0.8085,0.8085,0.6667,0.8085,0.8085,0.4646,0.1346,0.1346,0.3103,0.0435,0.0435,0.1471,0.0,0.3913,0.4946,0.617,0.617,0.1471,0.0,0.3478,0.4946,0.617,0.617,0.7872,0.8511,0.8511
